,fips,state_name,hospital_name,hospital_type,hq_address,hq_city,hq_state,latitude,longtitude
0,4013.0,Arizona,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),VA Hospital,650 E Indian School Rd,Phoenix,AZ,33.49549780000007,-112.06615689999995
1,4019.0,Arizona,Southern Arizona VA Health Care System,VA Hospital,3601 S 6th Ave,Tucson,AZ,32.181263400000034,-110.96588519999996
2,6019.0,California,VA Central California Health Care System,VA Hospital,2615 E Clinton Ave,Fresno,CA,36.77332350000006,-119.77974209999996
3,9009.0,Connecticut,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,950 Campbell Ave,West Haven,CT,41.28440040000004,-72.95761029999994
4,10003.0,Delaware,Wilmington VA Medical Center,VA Hospital,1601 Kirkwood Hwy,Wilmington,DE,39.74020630000007,-75.60653249999996
5,11001.0,District of Columbia,Washington DC VA Medical Center,VA Hospital,50 Irving St Nw,Washington,DC,38.93068230000006,-77.01119479999994
6,12001.0,Florida,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,1601 Sw Archer Rd,Gainesville,FL,29.636988900000063,-82.345254
7,16001.0,Idaho,Boise VA Medical Center,VA Hospital,500 W Fort St,Boise,ID,43.621035,-116.1901845
8,22017.0,Louisiana,Overton Brooks VA Medical Center,VA Hospital,510 E Stoner Ave,Shreveport,LA,32.50310080000003,-93.72168259999997
9,28121.0,Mississippi,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,1030 River Oaks Dr,Flowood,MS,32.32548710000003,-90.10530849999998
10,29019.0,Missouri,Harry S Truman Memorial Veterans Hospital,VA Hospital,800 Hospital Dr,Columbia,MO,38.93723540000008,-92.32884869999998
11,35001.0,New Mexico,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,1501 San Pedro Dr Se,Albuquerque,NM,35.055193100000054,-106.5816425
12,36001.0,New York,Albany Stratton VA Medical Center,VA Hospital,113 Holland Ave,Albany,NY,42.649612700000034,-73.77444039999995
13,36005.0,New York,James J Peters VA Medical Center,VA Hospital,130 W Kingsbridge Rd,Bronx,NY,40.86740320000007,-73.90640459999997
14,38017.0,North Dakota,Fargo VA Health Care System,VA Hospital,2101 Elm St N,Fargo,ND,46.90593280000007,-96.77453
15,41019.0,Oregon,Roseburg VA Health Care System,VA Hospital,913 Nw Garden Valley Blvd,Roseburg,OR,43.22706920000008,-123.36505739999996
16,42003.0,Pennsylvania,VA Pittsburgh Healthcare System - University Drive,VA Hospital,4100 Allequippa St,Pittsburgh,PA,40.44626610000006,-79.96080739999996
17,1001.0,Alabama,Prattville Baptist Hospital,Short Term Acute Care Hospital,124 S Memorial Dr,Prattville,AL,32.463778,-86.451938
18,1003.0,Alabama,Thomas Hospital,Short Term Acute Care Hospital,750 Morphy Ave,Fairhope,AL,30.51902650000005,-87.88830669999999
19,1003.0,Alabama,North Baldwin Infirmary,Short Term Acute Care Hospital,1815 Hand Ave,Bay Minette,AL,30.903945,-87.785172
20,1005.0,Alabama,Medical Center Barbour,Short Term Acute Care Hospital,820 W Washington St,Eufaula,AL,31.88876410000006,-85.15635649999996
21,1007.0,Alabama,Bibb Medical Center,Short Term Acute Care Hospital,208 Pierson Ave,Centreville,AL,32.95122340000006,-87.14813359999994
22,1009.0,Alabama,St Vincents Blount,Critical Access Hospital,150 Gilbreath Dr,Oneonta,AL,33.933302800000035,-86.49499529999997
23,1011.0,Alabama,Bullock County Hospital,Short Term Acute Care Hospital,102 Conecuh Ave W,Union Springs,AL,32.146119,-85.713048
24,1013.0,Alabama,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,29 L V Stabler Dr,Greenville,AL,31.829093900000032,-86.64627
25,1015.0,Alabama,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,301 E 18th St,Anniston,AL,33.6676,-85.825
26,1015.0,Alabama,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,400 E 10th St,Anniston,AL,33.65639530000004,-85.82283519999999
27,1017.0,Alabama,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,4800 48th St,Valley,AL,32.82464780000004,-85.16859339999996
28,1019.0,Alabama,Cherokee Medical Center,Short Term Acute Care Hospital,400 Northwood Dr,Centre,AL,34.1627,-85.6513
29,1025.0,Alabama,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,295 S Jackson St,Grove Hill,AL,31.694274902000075,-87.77594757099996
30,1025.0,Alabama,Jackson Medical Center,Short Term Acute Care Hospital,220 Hospital Dr,Jackson,AL,31.53119470000007,-87.895053
31,1027.0,Alabama,Clay County Hospital,Short Term Acute Care Hospital,83825 Highway 9,Ashland,AL,33.27714720000006,-85.823822
32,1031.0,Alabama,Medical Center Enterprise,Short Term Acute Care Hospital,400 N Edwards St,Enterprise,AL,31.318647,-85.855114
33,1033.0,Alabama,North Alabama Shoals Hospital (FKA Shoals Hospital),Short Term Acute Care Hospital,201 W Avalon Ave,Muscle Shoals,AL,34.744969,-87.675383
34,1035.0,Alabama,Evergreen Medical Center,Short Term Acute Care Hospital,101 Crestview Ave,Evergreen,AL,31.43097810000006,-86.94082129999998
35,1039.0,Alabama,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,849 S Three Notch St,Andalusia,AL,31.296297800000048,-86.49476239999996
36,1039.0,Alabama,Mizell Memorial Hospital,Short Term Acute Care Hospital,702 N Main St,Opp,AL,31.291985200000056,-86.25420619999994
37,1041.0,Alabama,Crenshaw Community Hospital,Short Term Acute Care Hospital,101 Hospital Dr,Luverne,AL,31.69335290000004,-86.26509409999994
38,1043.0,Alabama,Cullman Regional Medical Center,Short Term Acute Care Hospital,1912 Alabama Hwy 157,Cullman,AL,34.20758660000007,-86.87485309999994
