,fips,province_state,country_region,confirmed,deaths,recovered,active,date,state,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
0,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210219,PR,98624.0,305972.0,214.0,,
1,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210218,PR,98506.0,305972.0,233.0,,
2,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210217,PR,98428.0,305972.0,241.0,,
3,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210216,PR,98317.0,305972.0,220.0,,
4,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210215,PR,97837.0,305972.0,209.0,,
5,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210214,PR,97609.0,305972.0,216.0,,
6,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210213,PR,97313.0,305972.0,213.0,,
7,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210212,PR,96924.0,305972.0,240.0,,
8,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210211,PR,96636.0,305972.0,261.0,,
9,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210210,PR,96494.0,305972.0,251.0,,
10,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210209,PR,96402.0,305972.0,249.0,,
11,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210208,PR,96161.0,305972.0,263.0,,
12,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210207,PR,95839.0,305972.0,258.0,,
13,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210206,PR,95355.0,305972.0,265.0,,
14,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210205,PR,95064.0,305972.0,278.0,,
15,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210307,PR,101327.0,305972.0,147.0,,
16,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210306,PR,101327.0,305972.0,147.0,,
17,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210305,PR,101066.0,305972.0,136.0,,
18,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210304,PR,100867.0,305972.0,171.0,,
19,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210303,PR,100765.0,305972.0,169.0,,
20,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210302,PR,100735.0,305972.0,162.0,,
21,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210301,PR,100584.0,305972.0,155.0,,
22,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210228,PR,100297.0,305972.0,150.0,,
23,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210227,PR,100044.0,305972.0,174.0,,
24,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210226,PR,99860.0,305972.0,169.0,,
25,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210225,PR,99619.0,305972.0,184.0,,
26,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210224,PR,99519.0,305972.0,242.0,,
27,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210223,PR,99476.0,305972.0,225.0,,
28,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210222,PR,99257.0,305972.0,233.0,,
29,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210221,PR,99084.0,305972.0,217.0,,
30,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210220,PR,98835.0,305972.0,215.0,,
31,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210204,PR,94984.0,305972.0,270.0,,
32,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210203,PR,94662.0,305972.0,307.0,,
33,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210202,PR,94526.0,305972.0,298.0,,
34,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210201,PR,94238.0,305972.0,282.0,,
35,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210131,PR,93624.0,305972.0,285.0,,
36,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210130,PR,93406.0,305972.0,279.0,,
37,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210129,PR,92968.0,305972.0,280.0,,
38,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210128,PR,92541.0,305972.0,293.0,,
39,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210127,PR,92244.0,305972.0,301.0,,
40,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210126,PR,92069.0,305972.0,312.0,,
41,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210125,PR,91596.0,305972.0,312.0,,
42,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210124,PR,91028.0,305972.0,310.0,,
43,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210123,PR,90073.0,305972.0,325.0,,
44,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210122,PR,89282.0,305972.0,341.0,,
45,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210121,PR,88728.0,305972.0,344.0,,
46,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210120,PR,88513.0,305972.0,331.0,,
47,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210119,PR,88373.0,305972.0,351.0,,
48,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210118,PR,87939.0,305972.0,348.0,,
49,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210117,PR,87381.0,305972.0,363.0,,
50,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210116,PR,86523.0,305972.0,377.0,,
51,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210115,PR,85954.0,305972.0,382.0,,
52,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210114,PR,84816.0,305972.0,407.0,,
53,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210113,PR,84639.0,305972.0,388.0,,
54,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210112,PR,84427.0,305972.0,390.0,,
55,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210111,PR,83468.0,305972.0,392.0,,
56,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210110,PR,83119.0,305972.0,402.0,,
57,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210109,PR,82630.0,305972.0,420.0,,
58,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210108,PR,82067.0,305972.0,414.0,,
59,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210107,PR,79898.0,305972.0,411.0,,
60,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210106,PR,79612.0,305972.0,417.0,,
61,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210105,PR,79319.0,305972.0,423.0,,
62,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210104,PR,78805.0,305972.0,421.0,,
63,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201218,PR,66132.0,305972.0,575.0,,
64,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201217,PR,64751.0,305972.0,602.0,,
65,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201216,PR,63686.0,305972.0,593.0,,
66,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201215,PR,63419.0,305972.0,583.0,,
67,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201214,PR,62985.0,305972.0,609.0,,
68,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201213,PR,62431.0,305972.0,620.0,,
69,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201212,PR,61723.0,305972.0,646.0,,
70,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201211,PR,61002.0,305972.0,649.0,,
71,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201210,PR,59458.0,305972.0,657.0,,
72,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201209,PR,58962.0,305972.0,637.0,,
73,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201208,PR,58316.0,305972.0,618.0,,
74,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201207,PR,57622.0,305972.0,618.0,,
75,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201206,PR,56671.0,305972.0,631.0,,
76,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201205,PR,55532.0,305972.0,640.0,,
77,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201204,PR,54597.0,305972.0,651.0,,
78,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201203,PR,54105.0,305972.0,628.0,,
79,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210103,PR,78169.0,305972.0,415.0,,
80,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210102,PR,77932.0,305972.0,391.0,,
81,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210101,PR,77054.0,305972.0,432.0,,
82,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201231,PR,76291.0,305972.0,440.0,,
83,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201230,PR,75888.0,305972.0,450.0,,
84,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201229,PR,75790.0,305972.0,462.0,,
85,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201228,PR,73658.0,305972.0,447.0,,
86,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201227,PR,73227.0,305972.0,445.0,,
87,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201226,PR,72443.0,305972.0,451.0,,
88,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201225,PR,71424.0,305972.0,475.0,,
89,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201224,PR,70808.0,305972.0,534.0,,
90,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201223,PR,70488.0,305972.0,537.0,,
91,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201222,PR,69912.0,305972.0,535.0,,
92,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201221,PR,68849.0,305972.0,520.0,,
93,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201220,PR,68433.0,305972.0,540.0,,
94,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201219,PR,67211.0,305972.0,558.0,,
95,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201202,PR,53708.0,305972.0,638.0,,
96,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201201,PR,53320.0,305972.0,638.0,,
97,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201130,PR,52545.0,305972.0,622.0,,
98,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201129,PR,51702.0,305972.0,606.0,,
99,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201128,PR,51581.0,305972.0,573.0,,
100,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201127,PR,50678.0,305972.0,582.0,,
101,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201126,PR,49226.0,305972.0,597.0,,
102,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201125,PR,48725.0,305972.0,602.0,,
103,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201124,PR,48548.0,305972.0,626.0,,
104,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201123,PR,48200.0,305972.0,607.0,,
105,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201122,PR,47459.0,305972.0,606.0,,
106,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201121,PR,46434.0,305972.0,621.0,,
107,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201120,PR,45335.0,305972.0,614.0,,
108,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201119,PR,44431.0,305972.0,573.0,,
109,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201118,PR,43910.0,305972.0,557.0,,
110,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201117,PR,43585.0,305972.0,568.0,,
111,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201116,PR,43016.0,305972.0,533.0,,
112,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201115,PR,42479.0,305972.0,515.0,,
113,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201114,PR,41772.0,305972.0,539.0,,
114,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201113,PR,41119.0,305972.0,559.0,,
115,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201112,PR,40452.0,305972.0,566.0,,
116,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201111,PR,39120.0,305972.0,556.0,,
117,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201110,PR,38856.0,305972.0,538.0,,
118,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201109,PR,38581.0,305972.0,544.0,,
119,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201108,PR,38100.0,305972.0,518.0,,
120,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201107,PR,37567.0,305972.0,526.0,,
121,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201106,PR,36904.0,305972.0,518.0,,
122,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201105,PR,36101.0,305972.0,483.0,,
123,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201104,PR,35807.0,305972.0,459.0,,
124,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201103,PR,35750.0,305972.0,421.0,,
125,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201102,PR,35405.0,305972.0,443.0,,
126,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201016,PR,28174.0,305972.0,341.0,,
127,72.0,Puerto Rico,US,3.0,0.0,0.0,,20201015,PR,27947.0,305972.0,354.0,,
