EFX_ID|EFX_NAME|EFX_LEGAL_NAME|EFX_ADDRESS|EFX_CITY|EFX_STATE|EFX_STATEC|EFX_ZIPCODE|EFX_ZIP4|EFX_LAT|EFX_LO-|EFX_GEOPREC|EFX_REGION|EFX_CTRYISOCD|EFX_CTRYNUM|EFX_CTRYNAME|EFX_COUNTYNM|EFX_COUNTY|EFX_CMSA|EFX_CMSADESC|EFX_SOHO|EFX_BIZ|EFX_RES|EFX_CMRA|EFX_CONGRESS|EFX_SECADR|EFX_SECCTY|EFX_SECSTAT|EFX_STATEC2|EFX_SECZIP|EFX_SECZIP4|EFX_SECLAT|EFX_SECLO-|EFX_SECGEOPREC|EFX_SECREGION|EFX_SECCTRYISOCD|EFX_SECCTRYNUM|EFX_SECCTRYNAME|EFX_CTRYTELCD|EFX_GENDER|EFX_ETHNICITY|EFX_MBE|EFX_WBE|EFX_VET|EFX_BUSSIZE|EFX_GOV|EFX_FGOV|EFX_NONPROFIT|EFX_EDU|EFX_BUSSTAT|EFX_BUSSTATCD|EFX_WEB|EFX_YREST|EFX_CORPEMPCNT|EFX_LOCEMPCNT|EFX_CORPEMPCD|EFX_LOCEMPCD|EFX_CORPAMOUNT|EFX_CORPAMOUNTCD|EFX_CORPAMOUNTTP|EFX_CORPAMOUNTPREC|EFX_LOCAMOUNT|EFX_LOCAMOUNTCD|EFX_LOCAMOUNTTP|EFX_LOCAMOUNTPREC|EFX_PUBLIC|EFX_STKEXC|EFX_TCKSYM|EFX_PRIMSIC|EFX_SECSIC1|EFX_SECSIC2|EFX_SECSIC3|EFX_SECSIC4|EFX_PRIMSICDESC|EFX_SECSICDESC1|EFX_SECSICDESC2|EFX_SECSICDESC3|EFX_SECSICDESC4|EFX_PRIMNAICSCODE|EFX_SECNAICS1|EFX_SECNAICS2|EFX_SECNAICS3|EFX_SECNAICS4|EFX_PRIMNAICSDESC|EFX_SECNAICSDESC1|EFX_SECNAICSDESC2|EFX_SECNAICSDESC3|EFX_SECNAICSDESC4|EFX_LEGSUBNUMALL|EFX_LEGSUBNAMEALL|EFX_LEGSUBADDRESSALL|EFX_LEGSUBCITYALL|EFX_LEGSUBSTATEALL|EFX_LEGSUBZIPCODEALL|EFX_LEGSUBZIP4ALL|EFX_LEGSUBCOUNTYALL|EFX_LEGSUBCTRYISOCDALL|EFX_LEGSUBCTRYNUMALL|EFX_LEGSUBCTRYNAMEALL|EFX_LEGDOMULTNUMALL|EFX_LEGDOMULTNAMEALL|EFX_LEGDOMULTADDRESSALL|EFX_LEGDOMULTCITYALL|EFX_LEGDOMULTSTATEALL|EFX_LEGDOMULTZIPCODEALL|EFX_LEGDOMULTZIP4ALL|EFX_LEGDOMULTCOUNTYALL|EFX_LEGDOMULTCTRYISOCDALL|EFX_LEGDOMULTCTRYNUMALL|EFX_LEGDOMULTCTRYNAMEALL|EFX_LEGULTNUMALL|EFX_LEGULTNAMEALL|EFX_LEGULTADDRESSALL|EFX_LEGULTCITYALL|EFX_LEGULTSTATEALL|EFX_LEGULTZIPCODEALL|EFX_LEGULTZIP4ALL|EFX_LEGULTCOUNTYALL|EFX_LEGULTCTRYISOCDALL|EFX_LEGULTCTRYNUMALL|EFX_LEGULTCTRYNAMEALL|EFX_LEGULTPARENTIND|EFX_LEGPARENTIND|EFX_LEGLINKEDIND|EFX_AFFLULTNUMALL|EFX_AFFLULTNAMEALL|EFX_AFFLULTADDRESSALL|EFX_AFFLULTCITYALL|EFX_AFFLULTSTATEALL|EFX_AFFLULTZIPCODEALL|EFX_AFFLULTZIP4ALL|EFX_AFFULTCOUNTYALL|EFX_AFFLULTCTRYISOCDALL|EFX_AFFLULTCTRYNUMALL|EFX_AFFLULTCTRYNAMEALL|EFX_AFFLLINKEDIND|EFX_FRANCHISE|EFX_AFFLULTPARENTIND|EFX_AFFLPARENTIND|EFX_FOREIGN|EFX_FAILRATE|EFX_FAILLEVEL|EFX_FAILREASON1|EFX_FAILREASON2|EFX_FAILREASON3|EFX_FAILREASON4|EFX_CREDITSCORE|EFX_CREDITCLASS|EFX_CREDITPERC|EFX_CREDITREASON1|EFX_CREDITREASON2|EFX_CREDITREASON3|EFX_CREDITREASON4|EFX_BANKRUPTCY|EFX_DEAD|EFX_DEADDT|EFX_MRKT_TELEVER|EFX_MRKT_TELESCORE|EFX_MRKT_TOTALSCORE|EFX_MRKT_TOTALIND|EFX_MRKT_VACANT|EFX_MRKT_SEASONAL|EFX_EXTRACT_DATE
1|WOODS ARCADE WILLOWS|WOODS ARCADE WILLOWS|123 MAIN SRD |BOSTON|MA|25|10011|1869|42.356211|-71.050412|9||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||L|||||Corporation|4|www.woodsarcadewillows.com|1998|14229|77|K|E|4565823|K|Corporate Revenue|ACTUAL|4623|D|Location Sales|MDL|2|||8361|8011|8300|8059|8051|RESIDENTIAL CARE|OFFICES AND CLINICS OF DOCTORS OF MEDICINE|SOCIAL SERVICES|NURSING AND PERSONAL CARE FACILITIES, NEC|SKILLED NURSING CARE FACILITIES|623990|623311|623110|623312|531110|Other Residential Care Facilities|Continuing Care Retirement Communities|Nursing Care Facilities (Skilled Nursing Facilities)|Assisted Living Facilities for the Elderly|Lessors of Residential Buildings and Dwellings|41712345|WOODS ARCADE WILLOWS CORP|1600 S BROAD ST|GWM|PA|19348|3346|29|USA|840|United States of America|13429998|WOODS ARCADE WILLOWS CORP|2101 E. STATE RD|ABC SQUARE|PA|19348|||USA|840|United States of America|13435354|WOODS ARCADE WILLOWS CORP|1101 E. STATE ST.|KENNETT AVE|PA|19348|||USA|840|United States of America||Y|Y|13435354|WOODS ARCADE WILLOWS CORP|1101 E. STATE ST.|KENNETT AVE|PA|19348|||USA|840|United States of America|Y|||Y||3|1|||||386|4|22|C0066|C1175|C1065|C0392||||Y|5|5|M|||6/21/2021
559|WOODS ARCADE WILLOWS HERITAGE HALL|WOODS ARCADE WILLOWS CORP|123 COOPER SRD |BOSTON|MA|25|10012|2194|42.359211|-71.088412|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||X|||||Corporation|4|www.woodsarcadewillows.com|1993|14229|7|K|B|4565823|K|Corporate Revenue|ACTUAL|767|B|Location Sales|MDL|2|||8051|8361||||SKILLED NURSING CARE FACILITIES|RESIDENTIAL CARE||||624190|623312|561920|623311|623110|Other Individual and Family Services|Assisted Living Facilities for the Elderly|Convention and Trade Show Organizers|Continuing Care Retirement Communities|Nursing Care Facilities (Skilled Nursing Facilities)|41712345|WOODS ARCADE WILLOWS CORP|1600 S BROAD ST|GWM|PA|19348|3346|29|USA|840|United States of America|13422667|WOODS ARCADE WILLOWS CORP|2101 E. STATE RD|ABC SQUARE|PA|19348|||USA|840|United States of America|13435354|WOODS ARCADE WILLOWS CORP|1101 E. STATE ST.|KENNETT AVE|PA|19348|||USA|840|United States of America|||Y|13435354|WOODS ARCADE WILLOWS CORP|1101 E. STATE ST.|KENNETT AVE|PA|19348|||USA|840|United States of America|Y|||||0|0|C0206||||0|0|0|||||Y|||Y|4|4|M|||6/21/2021
2|ABCDE RENTALS|ABCDE RENTALS  LLC|123 HOLYOKE SRD |BRISTOL|MA|25|10563|1220|42.345454|-72.457687|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||X|||||Corporation|4|www.abcderentals.com|2001|19100|12|K|C|8530000|K|Corporate Revenue|ACTUAL|3004|D|Location Sales|MDL|2|||7359|5251|5082|7353||EQUIPMENT RENTAL AND LEASING, NEC|HARDWARE STORES|CONSTRUCTION AND MINING (EXCEPT PETROLEUM) MACHINERY AND EQUIPMENT|HEAVY CONSTRUCTION EQUIPMENT RENTAL AND LEASING||532490|532000|423810|532210|532412|Other Commercial and Industrial Machinery and Equipment Rental and Leasing|Rental and Leasing Services|Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers|Consumer Electronics and Appliances Rental|Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing|56418834|ABC RENTAL LLC|123 ABC PL STE 700|GWM|CT|4334|9200|1|USA|840|United States of America|56418834|ABCDE RENTALS|123 ABC PL STE 700|ABCFORD|CT|6902|||USA|840|United States of America|56418834|ABCDE RENTALS|123 ABC PL STE 700|ABCFORD|CT|6902|||USA|840|United States of America|||Y|56418834|ABCDE RENTALS|123 ABC PL STE 700|ABCFORD|CT|6902|||USA|840|United States of America|Y|||||6|2|C5007|C0207|||||||||||||Y|5|5|M|||6/21/2021
4|ABCD DOWNSTREET BANK|ABCD DOWNSTREET BANK|1655 ABC SRD |PLYMOUTH|MA|25|65804|2590|37.156566|-93.248345|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||S|||||Corporation|4|www.abcddownstreetbank.com|1999|85|19|E|C|8036|E|Corporate Sales|MDL|3207|D|Location Sales|MDL||||6021|6022|6029|6035|6036|NATIONAL COMMERCIAL BANKS|STATE COMMERCIAL BANKS|COMMERCIAL BANKS, NEC|SAVINGS INSTITUTIONS, FEDERALLY CHARTERED|SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED|522110|522120||||Commercial Banking|Savings Institutions||||12345|ABCD DOWNSTREET BANK|1655 ABC ST |GWM|MA|25|5804|2590|USA|840|United States of America|12345|ABCD DOWNSTREET BANK|1655 ABC ST |SPRINGFIELD|MA|65804|6580|13|USA|840|United States of America|12345|ABCD DOWNSTREET BANK|1655 ABC ST |SPRINGFIELD|MA|65804|6580|13|USA|840|United States of America||Y|Y|12345|ABCD DOWNSTREET BANK|1655 ABC ST |SPRINGFIELD|MA|65804|6580|13|USA|840|United States of America|Y|||Y||3|1|C0207||||507|2|72|C0392|H1195|C1206|C1324||||Y|5|5|M|||6/21/2021
5|ABCDE FURNITTURE CO|ABCDE CORPURNITTURE CO|320 BOWLES RD |WEST PLYMOUTH|MA|25|1089|2968|41.34544|-76.567643|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||X|||||Corporation|4|www.abcdefurniture.com|1992|37900|220|K|F|80077865|K|Corporate Revenue|EST|0|||||||5712|5021|5949|2515|5131|FURNITURE STORES|FURNITURE|SEWING, NEEDLEWORK, AND PIECE GOODS STORES|MATTRESSES, FOUNDATIONS, AND CONVERTIBLE BEDS|PIECE GOODS, NOTIONS, AND OTHER DRY GOODS|442110|423210|337121|337910|424310|Furniture Stores|Furniture Merchant Wholesalers|Upholstered Household Furniture Manufacturing|Mattress Manufacturing|Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers|1684268|ABCDE FURNITTURE CO LLC|110 CONCORD ST|GWM|GA|30005|6188|121|USA|840|United States of America|324544565|ABCDE TECH HOLDINGS INC|567 CAMDEN RD|BOSTON|MA|2116|8001||USA|840|United States of America|324544565|ABCDE TECH HOLDINGS INC|567 CAMDEN RD|BOSTON|MA|2116|8001||USA|840|United States of America||Y|Y|324544565|ABCDE TECH HOLDINGS INC|567 CAMDEN RD|BOSTON|MA|2116|8001||USA|840|United States of America|Y|||Y||1|1|C5007|C0207|||212|5|4|H0661|C1081|C1500|C3008|||| |1|1|A|||6/21/2021
8|DUMMY PARK AND RECREATION INC|DUMMY PARK ENTERPRISES, INC.|623 ABC SRD|WEST PLYMOUTH|MA|25|10890|2567|41.037472|-70.616211|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1|||||1001|307|40.06258|-70.625877|255||USA|840|United States of America|1|M|Ethnicity N/A||||L|||||Corporation|4|www.dummyparkrecreationinc.com|1997|66|20|E|D|10194|F|Corporate Sales|MDL|7484|E|Location Sales|MDL||||7996|6515|1799|5812|7900|AMUSEMENT PARKS|OPERATORS OF RESIDENTIAL MOBILE HOME SITES|SPECIAL TRADE CONTRACTORS, NEC|EATING AND DRINKING PLACES|AMUSEMENT AND RECREATION SERVICES|713110|531190|722000|238990|722511|Amusement and Theme Parks|Lessors of Other Real Estate Property|Food Services and Drinking Places|All Other Specialty Trade Contractors|Full-Service Restaurants|567567665|DUMMY PARK AND RECREATION INC|104 PARK ST|GWM|TX|76011|5170|439|USA|840|United States of America|567567665|DUMMY PARK AND RECREATION INC|104 PARK ST|HUSTON|TX|10104|101|61|USA|840|United States of America|567567665|DUMMY PARK AND RECREATION INC|104 PARK ST|HUSTON|TX|10104|101|61|USA|840|United States of America|||Y|567567665|DUMMY PARK AND RECREATION INC|104 PARK ST|HUSTON|TX|10104|101|61|USA|840|United States of America|Y|||||7|2|C5007|C0207|C0091||333|5|10|C1175|H0677|C1401|C1065||||Y|5|5|M|||6/21/2021
10|ABCDE PLUMBING|ABCDE PLUMBING CORP|9879 NORRDH SRD|BRISTOL|MA|25|10897|1309|39.034543|-68.653476|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||S|||||Corporation|4|www.abcdeplumbing.com|2001|8|3|B|A|1727|C|Corporate Sales|MDL|1727|C|Location Sales|MDL||||1711|1521|5722|7699|7629|PLUMBING, HEATING, AND AIR-CONDITIONING|GENERAL CONTRACTORS-SINGLE-FAMILY HOUSES|HOUSEHOLD APPLIANCE STORES|REPAIR SHOPS AND RELATED SERVICES, NEC|ELECTRICAL AND ELECTRONIC REPAIR SHOPS, NEC|238220|238000|562991|811219||Plumbing, Heating, and Air-Conditioning Contractors|Specialty Trade Contractors|Septic Tank and Related Services|Other Electronic and Precision Equipment Repair and Maintenance||1034|ABCDE PLUMBING|9879 NORTH ST|GWM|MA|10897|1309|13|USA|840|United States of America|1034|ABCDE PLUMBING|9879 NORTH ST|AGAWAM|MA|1089|1309|13|USA|840|United States of America|1034|ABCDE PLUMBING|9879 NORTH ST|AGAWAM|MA|1089|1309|13|USA|840|United States of America||||98786|HARVEST PARTNERS, LP|2 VENUE ST|NEW YORK|NY|10014|1263||USA|840|United States of America|Y|Y||||||||||445|3|35||||||||Y|5|5|M|||6/21/2021
12|ABCD NORTH INSTITUTE|ABCD NORTH INSTITUTE|314 IANGFE RD |BRISTOL|MA|25|1111|1511|41.187117|-71.64173|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||S|||||Corporation|4|www.abc.abcdnorthinstitute.com|1981|10|2|C|A|683|B|Corporate Sales|MDL|683|B|Location Sales|MDL||||8322|8093|8049|8300|8063|INDIVIDUAL AND FAMILY SOCIAL SERVICES|SPECIALTY OUTPATIENT FACILITIES, NEC|OFFICES AND CLINICS OF HEALTH PRACTITIONERS, NEC|SOCIAL SERVICES|PSYCHIATRIC HOSPITALS|622210|621420|621493|624190||Psychiatric and Substance Abuse Hospitals|Outpatient Mental Health and Substance Abuse Centers|Freestanding Ambulatory Surgical and Emergency Centers|Other Individual and Family Services||11|NM|314 DIANGFED RD|GWM|MA|1111|1511|13|USA|840|United States of America|11|NM|314 DIANGFED RD|GWM|MA|1111|1511|13|USA|840|United States of America|11|NM|314 DIANGFED RD|GWM|MA|1111|1511|13|USA|840|United States of America||||1575611|NTNE EELLDOAI N MNTE EENDD|3813 FAFX DA RD 111|AENGTN|VA|11113|5861|13|USA|840|United States of America|Y|Y||||1|1|||||458|3|39|G4000|C0066|C1209|C1206||||Y|5|5|M|||6/21/2021
13|ABNN TT IOT|MAUTT, TT CORP|418 NARDA RD |AGAWAM|MA|25|1131|1318|41.181371|-71.657387|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1||||||||||||0||1|Gender N/A|Ethnicity N/A||||X|Y||||Corporation|4|www.abc.abnnttiot.com|1990|61364|13|K|C|17673111|K|Corporate Revenue|ACTUAL|4865|D|Location Sales|MDL||||7999|8412|7900|||AMUSEMENT AND RECREATION SERVICES, NEC|MUSEUMS AND ART GALLERIES|AMUSEMENT AND RECREATION SERVICES|||711219|712190|713990|||Other Spectator Sports|Nature Parks and Other Similar Institutions|All Other Amusement and Recreation Industries|||187371|DTT F MDDDAUDTTD DIATMNT F DNDAVTN AND ADATN|151 DOAIUDWY RD RD 711|GWM|MA|1114|1138|25|USA|840|United States of America|147167|MNWDAA F MDDDAUDTTD|14 BDOAIN RD AM 361|BDTN|MA|1133|1177|25|USA|840|United States of America|147167|MNWDAA F MDDDAUDTTD|14 BDOAIN RD AM 361|BDTN|MA|1133|1177|25|USA|840|United States of America|||Y|147167|MNWDAA F MDDDAUDTTD|14 BDOAIN RD AM 361|BDTN|MA|1133|1177|25|USA|840|United States of America|Y|||||||||||198|5|4|H0661|C1081|C1500|C3008||||Y|5|5|M|||6/21/2021
14|TW MTE|NE TE, LLC.|83 GE RD |BRISTOL|MA|25|1111|1776|41.15183|-71.63765|255||USA|840|United States of America|Hampden County|13|8000|Springfield, MA||Y|||1|PO BOX 933|BRISTOL|MA|25|1111|311|41.16158|-71.615877|255||USA|840|United States of America|1|M|Ethnicity N/A||||X|||||Corporation|4|www.abc.twmte.com|1952|3500|15|I|C|6165|E|Corporate Sales|MDL|5239|E|Location Sales|MDL||||5051|3444|3312|||METALS SERVICE CENTERS AND OFFICES|SHEET METAL WORK|STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS|||423510|331210|332112|332312|334419|Metal Service Centers and Other Metal Merchant Wholesalers|Iron and Steel Pipe and Tube Manufacturing from Purchased Steel|Nonferrous Forging|Fabricated Structural Metal Manufacturing|Other Electronic Component Manufacturing|3174711|NE DTE LLD|744 41DT RD N|GWM|AL|35111|1114|73|USA|840|United States of America|81818538|NE NDUDD|1311 AGAEND V D RD 111|BAMNGAM|AL|35115|1775|73|USA|840|United States of America|81818538|NE NDUDD|1311 AGAEND V D RD 111|BAMNGAM|AL|35115|1775|73|USA|840|United States of America|||Y|81818538|NE NDUDD|1311 AGAEND V D RD 111|BAMNGAM|AL|35115|1775|73|USA|840|United States of America|Y|||||||||||429|3|32||||||||Y|5|5|M|||6/21/2021
